,cpf,sex,birthday,stateBorn,parents,education,income,risk,save_profile,email,name,phone
0,1452,1,1/6/2003,SP,0,Pos Doutorado,11845.44,Conservador,0.6452,1,Elisabeth Yamato,0
1,655,1,16/9/1990,BA,1,Pos Doutorado,7200.0,,0.5853,1,Antonieta Nazare,0
2,2104,0,17/10/1996,MG,0,Nao fez,1161.68,Arrojado,0.4521,1,,0
3,2163,1,25/7/1966,CE,1,MBA,4800.0,Arrojado,0.3791,1,Antonieta Buda,0
4,751,1,27/4/1979,RJ,0,Doutorado,8638.08,Moderado,0.3497,1,,0
5,1854,1,8/8/1965,MG,0,Doutorado,7352.96,Moderado,0.1489,1,Antonieta Buda,0
6,1241,0,9/6/2000,AC,1,Mestrado,5600.0,,0.0073,1,Francisco Targino,0
7,144,0,15/9/1977,AC,0,Graducao,5619.2,Moderado,0.4048,1,Marco Froszen,0
8,408,1,14/2/1985,AC,1,Tecnologo,3200.0,Arrojado,0.7518,1,Elisabeth Bardeen,0
9,2292,1,21/4/1953,RJ,1,Doutorado,6400.0,Moderado,0.5786,1,Antonieta Yamato,0
10,415,1,5/9/2013,BA,1,Nao fez,800.0,,0.423,1,Ana Santos,0
11,1194,0,21/2/1992,CE,1,Medio,2400.0,Moderado,0.2212,1,Kant Assis,0
12,759,0,7/2/2021,SP,0,Medio,4320.0,Conservador,0.8,1,Vlad Assis,0
13,929,1,8/8/1946,RJ,1,Tecnologo,3200.0,Moderado,0.7428,1,Carlota Asimov,0
14,1836,1,11/1/2015,CE,0,Fundamental,2302.08,,0.4388,1,Elisabeth Targino,0
15,661,1,9/12/1968,CE,0,Mestrado,7781.76,Moderado,0.3896,1,Julia Asimov,0
16,1569,1,24/2/1971,AC,1,MBA,4800.0,,0.1911,1,Gabriela Bryant,0
17,2119,0,23/9/1998,SP,0,Tecnologo,4372.16,Conservador,0.3663,1,John Asimov,0
18,2311,1,16/4/1938,BA,1,Graducao,4000.0,,0.5307,1,Isabel Nazare,0
19,2312,0,2/2/1990,AC,0,MBA,6124.32,Moderado,0.2759,1,Kobe Nazare,0
20,638,0,12/4/2015,AC,0,Medio,3024.48,Conservador,0.2602,1,Marco Froszen,0
21,1712,0,25/3/1994,CE,1,Nao fez,800.0,Conservador,0.7977,1,,0
22,214,1,20/10/1935,SP,1,Graducao,4000.0,Moderado,0.5994,1,Antonieta Asimov,0
23,1349,0,5/6/1961,BA,1,Pos Doutorado,7200.0,Arrojado,0.7338,1,Kobe Targino,0
24,171,1,10/7/1944,BA,1,Graducao,4000.0,Arrojado,0.1826,1,Carlota Yamato,0
25,2233,1,15/6/1937,RJ,0,Nao fez,1418.24,Conservador,0.7728,1,Ana Aurelio,0
26,1222,1,1/7/2001,BA,0,Pos Doutorado,12303.36,Conservador,0.7088,1,Carlota Santos,0
27,1178,0,26/5/1990,RJ,1,Nao fez,800.0,Moderado,0.5569,1,Vlad Froszen,0
28,1349,0,19/11/1933,SP,1,Graducao,4000.0,Conservador,0.1715,1,Isaac Asimov,0
29,1159,1,22/7/1995,RJ,1,Tecnologo,3200.0,Moderado,0.1441,1,Julia Yamato,0
30,2187,1,8/12/1964,BA,0,Tecnologo,5200.96,,0.6253,1,Carlota Yamato,0
31,1061,0,26/12/1937,RJ,0,Medio,4239.12,,0.7663,1,Silvio Bryant,0
32,1959,1,9/12/1960,AC,1,Mestrado,5600.0,,0.3447,1,,0
33,1335,0,23/1/1948,SP,1,Doutorado,6400.0,Arrojado,0.0644,1,Kant Froszen,0
34,1125,0,11/11/1967,SP,1,Mestrado,5600.0,Conservador,0.3629,1,,0
35,855,1,8/6/2017,BA,1,Fundamental,1600.0,Conservador,0.021,1,Antonieta Aurelio,0
36,1272,0,6/9/1955,BA,0,MBA,5726.88,Arrojado,0.1931,1,Silvio Nazare,0
