,idx,cpf,sex,birthday,stateBorn,parents,education,income,risk,save_profile,email,name,phone,percentage_save
0,0,1452,1,1/6/2003,SP,0,Pos Doutorado,11845.44,Conservador,0.6452,1,Elisabeth Yamato,0,5.4468217305562305e-05
1,1,655,1,16/9/1990,BA,1,Pos Doutorado,7200.0,,0.5853,1,Antonieta Nazare,0,8.129166666666667e-05
2,2,2104,0,17/10/1996,MG,0,Nao fez,1161.68,Arrojado,0.4521,1,,0,0.0003891777425797121
3,3,2163,1,25/7/1966,CE,1,MBA,4800.0,Arrojado,0.3791,1,Antonieta Buda,0,7.897916666666666e-05
4,4,751,1,27/4/1979,RJ,0,Doutorado,8638.08,Moderado,0.3497,1,,0,4.0483533377787655e-05
5,5,1854,1,8/8/1965,MG,0,Doutorado,7352.96,Moderado,0.1489,1,Antonieta Buda,0,2.0250348159108715e-05
6,6,1241,0,9/6/2000,AC,1,Mestrado,5600.0,,0.0073,1,Francisco Targino,0,1.3035714285714286e-06
7,7,144,0,15/9/1977,AC,0,Graducao,5619.2,Moderado,0.4048,1,Marco Froszen,0,7.203872437357632e-05
8,8,408,1,14/2/1985,AC,1,Tecnologo,3200.0,Arrojado,0.7518,1,Elisabeth Bardeen,0,0.0002349375
9,9,2292,1,21/4/1953,RJ,1,Doutorado,6400.0,Moderado,0.5786,1,Antonieta Yamato,0,9.040625e-05
10,10,415,1,5/9/2013,BA,1,Nao fez,800.0,,0.423,1,Ana Santos,0,0.00052875
11,11,1194,0,21/2/1992,CE,1,Medio,2400.0,Moderado,0.2212,1,Kant Assis,0,9.216666666666667e-05
12,12,759,0,7/2/2021,SP,0,Medio,4320.0,Conservador,0.8,1,Vlad Assis,0,0.0001851851851851852
13,13,929,1,8/8/1946,RJ,1,Tecnologo,3200.0,Moderado,0.7428,1,Carlota Asimov,0,0.00023212500000000002
14,14,1836,1,11/1/2015,CE,0,Fundamental,2302.08,,0.4388,1,Elisabeth Targino,0,0.00019061023074784544
15,15,661,1,9/12/1968,CE,0,Mestrado,7781.76,Moderado,0.3896,1,Julia Asimov,0,5.0065794884447735e-05
16,16,1569,1,24/2/1971,AC,1,MBA,4800.0,,0.1911,1,Gabriela Bryant,0,3.98125e-05
17,17,2119,0,23/9/1998,SP,0,Tecnologo,4372.16,Conservador,0.3663,1,John Asimov,0,8.378009953890068e-05
18,18,2311,1,16/4/1938,BA,1,Graducao,4000.0,,0.5307,1,Isabel Nazare,0,0.00013267499999999999
19,19,2312,0,2/2/1990,AC,0,MBA,6124.32,Moderado,0.2759,1,Kobe Nazare,0,4.5049899417404705e-05
20,20,638,0,12/4/2015,AC,0,Medio,3024.48,Conservador,0.2602,1,Marco Froszen,0,8.603131778024651e-05
21,21,1712,0,25/3/1994,CE,1,Nao fez,800.0,Conservador,0.7977,1,,0,0.000997125
22,22,214,1,20/10/1935,SP,1,Graducao,4000.0,Moderado,0.5994,1,Antonieta Asimov,0,0.00014985
23,23,1349,0,5/6/1961,BA,1,Pos Doutorado,7200.0,Arrojado,0.7338,1,Kobe Targino,0,0.00010191666666666667
24,24,171,1,10/7/1944,BA,1,Graducao,4000.0,Arrojado,0.1826,1,Carlota Yamato,0,4.5650000000000005e-05
25,25,2233,1,15/6/1937,RJ,0,Nao fez,1418.24,Conservador,0.7728,1,Ana Aurelio,0,0.0005449007220216606
26,26,1222,1,1/7/2001,BA,0,Pos Doutorado,12303.36,Conservador,0.7088,1,Carlota Santos,0,5.761027881814398e-05
27,27,1178,0,26/5/1990,RJ,1,Nao fez,800.0,Moderado,0.5569,1,Vlad Froszen,0,0.0006961249999999999
28,28,1349,0,19/11/1933,SP,1,Graducao,4000.0,Conservador,0.1715,1,Isaac Asimov,0,4.2875000000000005e-05
29,29,1159,1,22/7/1995,RJ,1,Tecnologo,3200.0,Moderado,0.1441,1,Julia Yamato,0,4.503125e-05
30,30,2187,1,8/12/1964,BA,0,Tecnologo,5200.96,,0.6253,1,Carlota Yamato,0,0.00012022780409770503
31,31,1061,0,26/12/1937,RJ,0,Medio,4239.12,,0.7663,1,Silvio Bryant,0,0.00018076865009719
32,32,1959,1,9/12/1960,AC,1,Mestrado,5600.0,,0.3447,1,,0,6.155357142857142e-05
33,33,1335,0,23/1/1948,SP,1,Doutorado,6400.0,Arrojado,0.0644,1,Kant Froszen,0,1.00625e-05
34,34,1125,0,11/11/1967,SP,1,Mestrado,5600.0,Conservador,0.3629,1,,0,6.480357142857142e-05
35,35,855,1,8/6/2017,BA,1,Fundamental,1600.0,Conservador,0.021,1,Antonieta Aurelio,0,1.3125e-05
36,36,1272,0,6/9/1955,BA,0,MBA,5726.88,Arrojado,0.1931,1,Silvio Nazare,0,3.371818511999553e-05
37,37,2479,0,17/8/1945,AC,1,Fundamental,1600.0,Arrojado,0.4171,1,Guilherme Santos,0,0.0002606875
38,38,1831,1,18/2/1981,MG,0,Fundamental,2458.4,Moderado,0.5365,1,Antonieta Froszen,0,0.00021823136999674583
